file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddableEntityTypeMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddableEntityTypeMapTest,class,10,11,1,10,20,2,0,38,46,0.4117647,0.4945055,0.4945055,17,2,13,3,1,0,14,0,0,0,1,0,0,1,0,0,0,0,16,187,4,2,0,0,0,55,7,6,0,74,2,0,2,67,98,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/CacheTest.java,org.hibernate.reactive.CacheTest$Named,innerclass,6,6,0,6,2,1,0,0,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,3,0,1,0,2,0,0,0,0,17,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/event/impl/DefaultReactiveResolveNaturalIdEventListener.java,org.hibernate.reactive.event.impl.DefaultReactiveResolveNaturalIdEventListener,class,12,14,2,12,13,2,0,30,15,0.8333333,0.0,0.0,6,1,2,1,3,0,5,0,0,0,1,1,0,1,0,0,1,0,4,50,7,0,2,0,1,3,1,9,1,10,2,0,0,1,84,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/DB2Database.java,org.hibernate.reactive.containers.DB2Database,class,8,9,1,8,13,1,0,22,43,0.8484848,0.0,0.0,11,2,6,5,0,0,7,0,0,0,3,3,2,0,0,1,1,0,3,83,11,0,0,0,0,53,1,3,4,4,1,0,0,1,83,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/types/SerializableExceptionTest.java,org.hibernate.reactive.types.SerializableExceptionTest$Basic,innerclass,6,6,0,6,14,1,0,3,0,0.60606056,0.6,0.8181818,11,0,10,0,0,1,11,0,0,0,3,0,0,0,0,3,0,0,2,46,7,0,3,0,0,3,0,7,1,4,1,0,0,0,22,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/OrphanRemovalTest.java,org.hibernate.reactive.OrphanRemovalTest,class,10,10,0,10,2,2,0,21,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,67,1,0,0,0,0,14,2,2,0,14,1,0,3,12,46,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/schema/SchemaUpdatePostgreSqlTestBase.java,org.hibernate.reactive.schema.SchemaUpdatePostgreSqlTestBase$AAnother,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,6,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/IdentityGeneratorWithColumnTransformerTest.java,org.hibernate.reactive.IdentityGeneratorWithColumnTransformerTest$EnableUseGetGeneratedKeys,innerclass,2,2,0,2,1,3,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,0,1,0,0,0,0,26,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/loader/ast/internal/ReactiveSimpleNaturalIdLoader.java,org.hibernate.reactive.loader.ast.internal.ReactiveSimpleNaturalIdLoader,class,8,8,0,8,4,2,0,3,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,22,3,0,0,0,0,0,0,1,0,1,0,1,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/EagerElementCollectionForEmbeddedEmbeddableMapTest.java,org.hibernate.reactive.EagerElementCollectionForEmbeddedEmbeddableMapTest,class,11,12,1,11,20,2,0,41,46,0.8088235,0.64835167,0.85714287,17,2,13,3,1,0,14,0,0,0,4,3,0,4,0,0,3,0,16,197,4,2,0,0,0,73,7,8,0,76,2,0,3,67,105,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/CompositeIdManyToOneTest.java,org.hibernate.reactive.CompositeIdManyToOneTest$ShoppingItem,innerclass,7,7,0,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,10,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/schema/SchemaUpdateMariaDBTestBase.java,org.hibernate.reactive.schema.SchemaUpdateMariaDBTestBase$ASimpleNext,innerclass,12,12,0,12,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,6,0,0,0,0,16,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/types/JoinColumnsTest.java,org.hibernate.reactive.types.JoinColumnsTest$SampleEntity,innerclass,6,6,0,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,0,0,0,5,0,1,0,4,0,0,0,0,14,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/session/impl/ReactiveSessionImpl.java,org.hibernate.reactive.session.impl.ReactiveSessionImpl$ReactiveIdentifierLoadAccessImpl,innerclass,14,14,0,14,24,1,0,25,41,0.78181815,0.12727273,0.16363636,11,0,8,0,3,0,11,0,4,0,5,0,0,5,0,0,1,0,1,88,12,0,12,0,0,3,0,13,0,22,2,0,0,9,59,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/BlockTableGeneratorTest.java,org.hibernate.reactive.BlockTableGeneratorTest$TableId,innerclass,7,7,0,7,12,1,0,3,0,0.6666667,0.5,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,0,0,3,0,0,2,38,7,0,3,0,0,7,1,4,1,4,1,0,0,0,22,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/sql/results/graph/collection/internal/ReactiveEagerCollectionFetch.java,org.hibernate.reactive.sql.results.graph.collection.internal.ReactiveEagerCollectionFetch,class,11,12,1,11,3,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,1,0,0,0,24,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/provider/service/ReactiveSqmMultiTableMutationStrategyProviderInitiator.java,org.hibernate.reactive.provider.service.ReactiveSqmMultiTableMutationStrategyProviderInitiator,class,5,6,1,5,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/timezones/ColumnZonedTest.java,org.hibernate.reactive.timezones.ColumnZonedTest$Zoned,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/PostgreSQLDatabase.java,org.hibernate.reactive.containers.PostgreSQLDatabase,class,8,10,2,8,11,1,1,20,24,0.8148148,0.0,0.0,9,2,4,4,1,0,6,0,0,0,3,3,2,1,0,0,1,0,3,77,9,0,0,0,0,48,1,3,3,3,1,0,0,0,72,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/persister/entity/impl/ReactiveCoordinatorFactory.java,org.hibernate.reactive.persister.entity.impl.ReactiveCoordinatorFactory,class,11,14,3,11,8,1,0,3,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,6,2,0,0,0,0,2,6,0,6,2,0,0,0,26,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/types/LobTypeTest.java,org.hibernate.reactive.types.LobTypeTest,class,8,9,1,8,4,2,0,16,6,0.0,0.0,0.0,4,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,69,1,0,0,0,0,4,3,8,0,12,1,0,1,6,75,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/StatisticsTest.java,org.hibernate.reactive.StatisticsTest$Named,innerclass,4,4,0,4,2,1,0,0,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,2,0,1,0,2,0,0,0,0,4,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/persister/collection/mutation/ReactiveInsertRowsCoordinatorStandard.java,org.hibernate.reactive.persister.collection.mutation.ReactiveInsertRowsCoordinatorStandard,class,18,21,3,18,14,1,0,31,5,0.6571428,0.5,0.5,7,0,4,3,0,0,4,0,0,0,5,1,0,5,0,0,4,0,4,61,8,0,4,0,0,5,5,15,1,21,2,0,0,4,65,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/provider/impl/ReactiveTypeContributor.java,org.hibernate.reactive.provider.impl.ReactiveTypeContributor$TimestampUtcAsLocalDateTimeJdbcType,innerclass,6,6,0,6,1,2,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,2,17,1,0,0,0,0,1,0,2,0,2,0,1,0,0,35,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/session/impl/ReactiveSessionImpl.java,org.hibernate.reactive.session.impl.ReactiveSessionImpl,class,99,103,4,99,201,2,0,200,4679,0.95555556,0.01873874,0.01873874,99,1,73,24,1,1,75,0,0,0,5,1,0,5,0,0,3,0,13,1048,111,1,18,10,6,24,5,56,3,97,4,1,3,42,334,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/id/impl/ReactiveGeneratorWrapper.java,org.hibernate.reactive.id.impl.ReactiveGeneratorWrapper,class,7,10,3,7,10,1,0,6,0,0.25,0.8666667,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,1,34,2,0,2,0,2,1,0,2,0,3,1,0,0,1,34,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/ReactiveStatelessSessionTest.java,org.hibernate.reactive.ReactiveStatelessSessionTest$GuineaPig,innerclass,7,7,0,7,12,1,0,3,0,0.6666667,0.5,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,2,38,7,0,3,0,0,9,0,4,1,4,1,0,0,0,23,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/query/sqm/ReactiveSqmSelectionQuery.java,org.hibernate.reactive.query.sqm.ReactiveSqmSelectionQuery,interface,13,15,2,13,47,1,0,0,1081,0.0,0.0,0.0,47,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/CachedQueryResultsTest.java,org.hibernate.reactive.CachedQueryResultsTest$Fruit,innerclass,8,8,0,8,12,1,0,3,0,0.6666667,0.5,0.7777778,9,0,9,0,0,0,9,0,0,0,3,1,1,2,0,0,1,0,2,38,7,0,3,0,0,7,1,5,1,4,1,0,0,0,34,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/query/sqm/mutation/internal/temptable/ReactiveTemporaryTableHelper.java,org.hibernate.reactive.query.sqm.mutation.internal.temptable.ReactiveTemporaryTableHelper$TemporaryTableDropWork,innerclass,8,8,0,8,4,1,0,10,0,0.11111111,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,3,29,3,0,0,1,0,2,0,5,0,7,2,0,0,1,28,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/OneToOneNoIdClassTest.java,org.hibernate.reactive.OneToOneNoIdClassTest,class,7,7,0,7,2,2,0,12,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,56,1,0,0,0,0,2,3,3,0,9,1,0,2,6,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/util/async/impl/AsyncTrampoline.java,org.hibernate.reactive.util.async.impl.AsyncTrampoline,class,3,8,5,3,3,2,0,4,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,68,2,0,0,0,0,0,0,0,0,2,0,0,1,2,201,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/vertx/impl/VertxInstanceInitiator.java,org.hibernate.reactive.vertx.impl.VertxInstanceInitiator,class,5,6,1,5,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,23,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/FormulaTest.java,org.hibernate.reactive.FormulaTest$Record,innerclass,6,6,0,6,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,23,3,0,0,0,0,3,0,3,0,3,0,0,0,0,15,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/sql/results/internal/domain/ReactiveCircularFetchImpl.java,org.hibernate.reactive.sql.results.internal.domain.ReactiveCircularFetchImpl,class,9,10,1,9,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/persister/entity/impl/ReactiveEntityPersister.java,org.hibernate.reactive.persister.entity.impl.ReactiveEntityPersister,interface,12,19,7,12,21,1,0,5,210,0.0,0.0,0.0,21,1,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,1,0,1,0,1,0,0,0,0,77,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/TableGeneratorTest.java,org.hibernate.reactive.TableGeneratorTest$TableId,innerclass,6,6,0,6,12,1,0,3,0,0.6296297,0.5555556,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,0,0,3,0,0,2,39,7,0,3,0,0,6,2,5,1,4,1,0,0,0,22,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/sql/results/graph/entity/internal/ReactiveEntityResultInitializer.java,org.hibernate.reactive.sql.results.graph.entity.internal.ReactiveEntityResultInitializer,class,10,11,1,10,5,3,0,3,8,0.6,0.1,0.1,5,0,2,0,3,0,5,0,0,0,1,1,0,1,0,0,1,0,0,18,3,0,0,0,0,2,0,1,1,1,0,0,0,0,45,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/persister/collection/mutation/ReactiveDeleteRowsCoordinatorStandard.java,org.hibernate.reactive.persister.collection.mutation.ReactiveDeleteRowsCoordinatorStandard,class,18,21,3,18,10,2,0,29,0,0.55,1.0,1.0,5,0,2,3,0,0,2,0,0,0,4,0,0,4,0,0,3,0,3,52,7,0,3,0,0,4,3,13,1,20,2,0,0,5,62,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/sql/results/internal/ReactiveInitializersList.java,org.hibernate.reactive.sql.results.internal.ReactiveInitializersList,class,6,11,5,6,13,1,0,10,6,0.7,0.1904762,0.1904762,8,0,7,1,0,0,7,0,0,0,5,0,0,5,0,0,5,0,0,107,8,3,0,0,2,0,0,5,0,7,2,0,1,2,38,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/query/spi/ReactiveNativeSelectQueryPlan.java,org.hibernate.reactive.query.spi.ReactiveNativeSelectQueryPlan,interface,7,8,1,7,2,1,0,3,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,1,9,0,0,0,0,0,2,0,1,0,1,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/testing/TestingRegistryExtension.java,org.hibernate.reactive.testing.TestingRegistryExtension,class,7,8,1,7,5,1,0,3,0,0.25,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,87,1,0,1,0,0,0,0,3,0,2,1,0,1,0,20,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/metamodel/mapping/internal/ReactiveSimpleNaturalIdMapping.java,org.hibernate.reactive.metamodel.mapping.internal.ReactiveSimpleNaturalIdMapping,class,10,10,0,10,3,2,0,3,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/pool/ReactiveConnectionPool.java,org.hibernate.reactive.pool.ReactiveConnectionPool,interface,4,13,9,4,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/provider/impl/ReactiveTypeContributor.java,org.hibernate.reactive.provider.impl.ReactiveTypeContributor$JsonType,innerclass,3,3,0,3,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,8,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/loader/ast/internal/ReactiveCollectionBatchLoaderInPredicate.java,org.hibernate.reactive.loader.ast.internal.ReactiveCollectionBatchLoaderInPredicate,class,18,20,2,18,17,2,0,42,6,0.59999996,0.0,0.0,5,1,2,3,0,0,2,0,0,0,6,0,0,6,0,0,5,0,0,83,5,1,4,0,2,6,6,16,6,24,3,0,0,5,96,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/examples/session-example/src/main/java/org/hibernate/reactive/example/session/MutinyMain.java,org.hibernate.reactive.example.session.MutinyMain,class,9,10,1,9,3,1,0,39,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,45,2,0,0,1,0,23,10,9,2,41,2,0,0,30,66,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/sql/exec/internal/ReactiveStandardMutationExecutorService.java,org.hibernate.reactive.sql.exec.internal.ReactiveStandardMutationExecutorService,class,17,18,1,17,11,1,0,12,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,35,6,0,5,0,0,0,3,9,0,9,2,0,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/UnionSubclassInheritanceTest.java,org.hibernate.reactive.UnionSubclassInheritanceTest$Author,innerclass,8,8,0,8,14,1,0,3,9,0.6060606,0.4181818,0.8181818,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,0,0,2,47,7,0,3,0,0,3,0,9,0,4,1,0,0,0,20,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/containers/MySQLDatabase.java,org.hibernate.reactive.containers.MySQLDatabase,class,8,10,2,8,10,1,1,17,16,0.7916667,0.0,0.0,8,2,3,3,1,1,6,0,0,0,3,3,1,1,0,1,1,0,3,78,7,0,0,0,0,47,1,5,3,4,1,0,0,0,70,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/session/impl/ReactiveQueryExecutorLookup.java,org.hibernate.reactive.session.impl.ReactiveQueryExecutorLookup,class,3,5,2,3,2,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,63,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/main/java/org/hibernate/reactive/persister/collection/mutation/ReactiveDeleteRowsCoordinator.java,org.hibernate.reactive.persister.collection.mutation.ReactiveDeleteRowsCoordinator,interface,3,7,4,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/hibernate-reactive/../../hibernate-reactive/hibernate-reactive-core/src/test/java/org/hibernate/reactive/StructEmbeddableTest.java,org.hibernate.reactive.StructEmbeddableTest$SimpleStringHolder,innerclass,3,3,0,3,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,4,0,3,0,3,0,0,0,0,8,8,0
