file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,current/0,offset,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveRelative/1[int],offset,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveAbsolute/1[int],offset,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,moveToNext/0,offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,previous/0,offset,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,nextThrow/0,offset,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,hasNext/0,offset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,remove/0,offset,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,next/0,offset,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/dao/EagerForeignCollection.java,com.j256.ormlite.dao.EagerForeignCollection$Anonymous1,first/0,offset,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgsFromMethod/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testArgsFromMethod/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoMessage/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoMessage/0,mockBackend,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAtEachLevel/0,fluentLogger,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAtEachLevel/0,mockBackend,14
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoOutput/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoOutput/0,mockBackend,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAppendMsgDocs/0,fluentLogger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAppendMsgDocs/0,mockBackend,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNormal/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNormal/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testExtraArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testExtraArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testJustThrowable/0,throwable,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testJustThrowable/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testJustThrowable/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMultipleThrowables/0,throwable,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMultipleThrowables/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMultipleThrowables/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testTooFewArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testTooFewArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMsgIncreasesNumArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMsgIncreasesNumArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testCoverage/0,throwable,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testCoverage/0,fluentLogger,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testCoverage/0,mockBackend,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoArgStrings/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testNoArgStrings/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,before/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,before/0,mockBackend,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMsgDoesntIncreaseNumArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testMsgDoesntIncreaseNumArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testTwoMessages/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testTwoMessages/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAppendMsg/0,fluentLogger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testAppendMsg/0,mockBackend,10
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testJustArgs/0,fluentLogger,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testJustArgs/0,mockBackend,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testExample/0,fluentLogger,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/logger/FluentLoggerTest.java,com.j256.ormlite.logger.FluentLoggerTest,testExample/0,mockBackend,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/logger/backend/CommonsLoggingLogBackend.java,com.j256.ormlite.logger.backend.CommonsLoggingLogBackend,CommonsLoggingLogBackend/1[java.lang.String],log,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/logger/backend/CommonsLoggingLogBackend.java,com.j256.ormlite.logger.backend.CommonsLoggingLogBackend,isLevelEnabled/1[com.j256.ormlite.logger.Level],log,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/logger/backend/CommonsLoggingLogBackend.java,com.j256.ormlite.logger.backend.CommonsLoggingLogBackend,"log/2[com.j256.ormlite.logger.Level,java.lang.String]",log,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/logger/backend/CommonsLoggingLogBackend.java,com.j256.ormlite.logger.backend.CommonsLoggingLogBackend,"log/3[com.j256.ormlite.logger.Level,java.lang.String,java.lang.Throwable]",log,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/field/types/LongType.java,com.j256.ormlite.field.types.LongType,getSingleton/0,singleTon,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testBooleanConverterParseDefaultString/0,booleanFieldConverter,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testBooleanConverterGetSqlType/0,booleanFieldConverter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testAppendColumnDefaultValueNumber/0,DEFAULT_VALUE_NUMBER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testBooleanConverterIsStreamType/0,booleanFieldConverter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testBooleanConverterJavaToArg/0,booleanFieldConverter,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testAppendColumnDefaultValueString/0,DEFAULT_VALUE_STRING,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/db/BaseCoreDatabaseTypeTest.java,com.j256.ormlite.db.BaseCoreDatabaseTypeTest,testBooleanConverterResultToJava/0,booleanFieldConverter,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/field/types/CharacterObjectType.java,com.j256.ormlite.field.types.CharacterObjectType,getSingleton/0,singleTon,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/support/BaseConnectionSource.java,com.j256.ormlite.support.BaseConnectionSource$NestedConnection,NestedConnection/1[com.j256.ormlite.support.DatabaseConnection],connection,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/support/BaseConnectionSource.java,com.j256.ormlite.support.BaseConnectionSource$NestedConnection,NestedConnection/1[com.j256.ormlite.support.DatabaseConnection],nestedC,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/support/BaseConnectionSource.java,com.j256.ormlite.support.BaseConnectionSource$NestedConnection,increment/0,nestedC,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/main/java/com/j256/ormlite/support/BaseConnectionSource.java,com.j256.ormlite.support.BaseConnectionSource$NestedConnection,decrementAndGet/0,nestedC,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/field/types/IntegerObjectTypeTest.java,com.j256.ormlite.field.types.IntegerObjectTypeTest,testIntObj/0,INT_COLUMN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/field/types/IntegerObjectTypeTest.java,com.j256.ormlite.field.types.IntegerObjectTypeTest,testIntObjNull/0,INT_COLUMN,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,moveRelative/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,wasNull/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getByte/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getBytes/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getDouble/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getBoolean/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getChar/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,last/0,resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getObjectCacheForRetrieve/0,objectCache,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getColumnCount/0,metaData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getTimestamp/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getLong/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getColumnNames/0,metaData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,previous/0,resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,close/0,resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getShort/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getObjectCacheForStore/0,cacheStore,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getObjectCacheForStore/0,objectCache,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,"H2DatabaseResults/3[java.sql.ResultSet,com.j256.ormlite.dao.ObjectCache,boolean]",metaData,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,"H2DatabaseResults/3[java.sql.ResultSet,com.j256.ormlite.dao.ObjectCache,boolean]",cacheStore,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,"H2DatabaseResults/3[java.sql.ResultSet,com.j256.ormlite.dao.ObjectCache,boolean]",resultSet,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,"H2DatabaseResults/3[java.sql.ResultSet,com.j256.ormlite.dao.ObjectCache,boolean]",objectCache,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getInt/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,findColumn/1[java.lang.String],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,next/0,resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getString/1[int],resultSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ormlite-core/../../ormlite-core/src/test/java/com/j256/ormlite/h2/H2DatabaseResults.java,com.j256.ormlite.h2.H2DatabaseResults,getBigDecimal/1[int],resultSet,1
